order_amount,product_category,discount_percentage,customer_order_count,customer_return_count,customer_return_rate,previous_refunds,delivery_days,product_rating,quantity,payment_method,customer_tenure_days,estimated_return_cost,is_returned
2227.97,Home,63.8,36,3,0.083,3,10,2.6,4,Debit Card,284,342.25,0
1815.45,Sports,4.4,46,8,0.174,0,7,2.3,2,Credit Card,1015,271.42,1
1498.67,Fashion,66.9,8,2,0.25,2,3,2.2,5,UPI,1137,230.73,0
582.72,Fashion,3.6,33,5,0.152,0,5,4.8,1,Debit Card,1761,342.09,1
1291.4,Sports,64.8,29,5,0.172,1,2,2.1,2,Credit Card,1633,280.45,0
1374.48,Electronics,38.3,34,1,0.029,1,9,3.4,5,COD,127,272.15,0
951.63,Sports,37.3,27,0,0.0,0,1,4.1,3,Debit Card,1407,244.51,1
1589.18,Fashion,49.9,42,6,0.143,1,3,4.7,5,Net Banking,327,239.42,1
2497.99,Electronics,61.5,4,3,0.75,1,4,3.6,2,UPI,804,285.35,0
8175.92,Fashion,43.2,49,1,0.02,1,6,4.2,1,Net Banking,524,579.71,0
2079.04,Electronics,29.8,48,3,0.062,2,10,2.6,5,UPI,979,391.49,1
2221.73,Electronics,7.8,5,5,1.0,0,5,4.5,1,Debit Card,563,338.92,1
1703.51,Beauty,55.2,42,5,0.119,2,4,3.6,5,UPI,99,337.45,1
389.55,Fashion,9.0,11,3,0.273,3,1,3.5,4,UPI,1553,198.61,0
1770.1,Books,50.8,1,1,1.0,1,1,4.7,1,COD,1535,281.25,1
1897.29,Home,37.0,13,1,0.077,1,4,2.3,1,UPI,269,427.4,0
12972.59,Home,27.0,20,2,0.1,2,8,4.3,3,UPI,1081,1196.79,1
1550.16,Fashion,42.9,34,6,0.176,3,5,5.0,5,Debit Card,78,138.74,1
2301.32,Beauty,54.1,33,4,0.121,4,2,3.8,1,Debit Card,1095,350.45,1
1758.52,Home,65.9,14,4,0.286,1,9,4.4,2,UPI,297,231.31,1
709.85,Electronics,18.5,12,3,0.25,1,2,3.4,2,Net Banking,1225,262.89,0
4510.93,Books,66.3,11,3,0.273,2,10,3.1,1,COD,159,617.66,1
3299.57,Fashion,67.3,1,1,1.0,1,1,4.2,1,UPI,583,337.34,1
3404.41,Electronics,57.0,46,1,0.022,0,6,3.0,1,Debit Card,767,512.84,1
873.48,Home,61.7,8,3,0.375,1,6,4.2,5,COD,407,247.25,1
5553.79,Beauty,48.5,18,4,0.222,1,1,2.1,4,COD,735,392.82,1
589.05,Fashion,2.7,5,3,0.6,3,9,2.4,3,Debit Card,1581,334.7,0
2891.37,Sports,40.3,31,2,0.065,2,6,4.4,1,Credit Card,30,352.67,0
10429.2,Beauty,52.3,3,1,0.333,1,6,3.3,5,UPI,1209,550.84,1
818.58,Beauty,65.9,22,2,0.091,1,1,2.9,2,Net Banking,1342,289.77,1
1149.36,Fashion,39.9,6,4,0.667,1,4,3.9,4,Credit Card,430,201.19,1
1958.08,Books,55.6,24,3,0.125,1,9,3.5,5,UPI,1432,404.52,1
1208.6,Fashion,49.4,27,1,0.037,1,6,4.9,5,UPI,670,349.48,1
522.94,Home,19.7,21,5,0.238,4,8,4.5,3,UPI,947,178.74,1
1909.98,Fashion,10.8,37,3,0.081,0,3,5.0,2,Credit Card,285,403.3,0
772.91,Beauty,52.6,34,2,0.059,0,6,4.0,3,Debit Card,61,202.62,1
2640.9,Electronics,16.4,35,4,0.114,4,4,4.2,3,Debit Card,1946,333.32,1
866.5,Electronics,17.1,36,5,0.139,2,1,4.7,5,Debit Card,144,368.44,1
6247.57,Sports,45.1,26,0,0.0,0,7,4.9,1,Net Banking,1998,234.1,0
966.23,Fashion,55.2,1,1,1.0,1,7,2.3,4,UPI,1953,159.66,1
1397.38,Fashion,40.8,48,1,0.021,1,1,5.0,4,COD,703,277.51,1
3466.2,Home,61.9,19,7,0.368,4,3,3.1,5,UPI,1327,424.67,0
675.4,Beauty,14.8,26,2,0.077,0,1,4.6,5,Debit Card,1170,212.31,1
2168.88,Fashion,17.7,23,3,0.13,0,9,2.5,1,Credit Card,690,268.67,0
5144.66,Electronics,44.6,40,3,0.075,0,10,4.3,1,UPI,509,362.43,0
499.7,Books,58.1,34,2,0.059,1,4,2.5,5,Credit Card,511,148.12,1
2095.83,Home,37.8,27,3,0.111,3,5,3.0,2,UPI,1962,295.15,1
2225.88,Fashion,0.7,3,3,1.0,2,1,4.5,5,UPI,542,284.28,1
3379.42,Sports,47.4,46,4,0.087,3,9,3.0,3,Credit Card,1231,401.7,1
672.12,Home,57.0,39,3,0.077,3,10,4.4,3,COD,650,331.78,1
628.69,Fashion,19.4,13,2,0.154,2,3,4.0,5,Credit Card,348,290.2,0
2745.05,Fashion,3.8,39,4,0.103,2,5,2.8,1,Credit Card,1940,407.75,1
2292.93,Fashion,36.3,16,6,0.375,2,1,3.5,2,Credit Card,1579,431.49,1
2209.22,Sports,3.0,3,2,0.667,2,3,2.3,3,Debit Card,257,245.46,1
2385.49,Electronics,29.1,26,4,0.154,1,4,4.9,1,UPI,1874,191.1,1
1049.41,Fashion,1.2,5,5,1.0,1,8,4.2,5,Net Banking,562,310.18,0
2177.22,Books,15.7,3,3,1.0,3,8,3.6,1,UPI,1450,283.46,1
2285.77,Electronics,27.2,28,1,0.036,1,7,4.6,5,Debit Card,351,237.86,0
1020.98,Home,7.8,47,4,0.085,1,9,3.9,3,Debit Card,1151,203.69,1
8043.5,Fashion,8.0,43,4,0.093,2,10,2.9,4,UPI,1533,541.01,1
2641.41,Home,57.9,30,2,0.067,2,5,4.3,2,UPI,194,487.48,1
697.12,Fashion,2.9,23,3,0.13,3,2,4.2,5,Credit Card,1129,130.87,1
3057.16,Electronics,48.2,18,2,0.111,1,1,2.4,5,Credit Card,1503,481.08,1
829.03,Home,57.0,5,1,0.2,1,8,2.7,4,COD,634,211.51,1
3393.67,Beauty,9.2,22,1,0.045,1,4,4.0,5,Credit Card,1991,429.79,1
4568.21,Beauty,13.7,45,2,0.044,2,6,4.7,3,COD,93,352.42,1
937.72,Beauty,44.9,1,1,1.0,1,3,3.1,1,COD,358,284.28,0
3907.69,Home,22.1,27,1,0.037,1,7,2.2,2,Debit Card,505,453.97,1
2515.49,Home,33.3,14,1,0.071,1,7,2.5,2,Debit Card,1059,303.22,1
3489.97,Beauty,58.5,41,1,0.024,1,3,3.4,1,UPI,1235,511.62,1
8245.59,Beauty,9.7,9,3,0.333,3,2,2.5,3,Debit Card,1739,797.11,1
1485.77,Beauty,43.4,4,0,0.0,0,3,3.7,3,Credit Card,751,412.11,1
989.31,Home,66.0,25,4,0.16,1,7,3.0,3,COD,300,281.55,1
887.48,Electronics,4.0,31,2,0.065,2,9,2.1,5,COD,785,280.1,1
941.38,Fashion,4.2,32,5,0.156,3,9,2.8,2,Debit Card,1337,246.45,1
1699.89,Fashion,38.8,2,2,1.0,1,10,3.4,2,Net Banking,1828,313.22,1
2375.4,Books,67.2,48,4,0.083,0,2,2.7,5,Credit Card,344,300.88,1
2256.01,Sports,15.4,37,3,0.081,2,2,2.8,2,UPI,903,294.78,0
3504.3,Home,23.2,50,3,0.06,1,2,4.4,4,Net Banking,783,447.0,1
1826.95,Fashion,6.9,2,2,1.0,2,2,3.8,3,UPI,850,271.94,1
5783.86,Electronics,25.4,14,0,0.0,0,9,3.4,5,UPI,1366,571.4,1
1463.04,Books,3.1,15,1,0.067,1,2,2.8,5,UPI,445,331.83,0
15932.8,Books,27.2,25,1,0.04,0,7,2.1,2,Credit Card,1834,1196.05,1
2982.55,Electronics,38.9,10,3,0.3,0,10,2.5,4,UPI,1899,184.2,1
910.76,Sports,68.3,28,4,0.143,4,1,2.3,1,Net Banking,540,259.97,1
767.61,Fashion,57.3,48,3,0.062,1,1,2.8,5,COD,415,128.56,1
2659.72,Fashion,57.5,8,1,0.125,1,5,2.0,2,Net Banking,1283,381.53,1
1512.06,Beauty,16.0,14,1,0.071,1,10,4.3,1,Credit Card,1611,245.28,1
3200.94,Home,6.1,20,3,0.15,1,8,3.3,4,COD,677,307.43,1
2640.15,Sports,42.2,42,3,0.071,3,10,3.5,4,Debit Card,240,299.31,1
1705.71,Electronics,36.5,13,2,0.154,0,1,4.1,4,Net Banking,1899,347.05,0
918.34,Fashion,36.2,19,4,0.211,3,4,3.0,5,Credit Card,817,211.85,1
538.14,Fashion,7.6,34,1,0.029,1,5,2.7,3,UPI,1609,250.8,1
1264.95,Fashion,34.6,26,1,0.038,1,9,3.2,5,COD,80,419.89,0
3587.17,Home,10.5,37,4,0.108,2,5,3.5,3,COD,1431,278.01,1
2145.82,Fashion,29.5,46,4,0.087,3,7,3.1,4,Credit Card,154,314.0,1
667.41,Fashion,4.4,24,3,0.125,3,5,4.9,5,Credit Card,1125,148.24,1
2076.72,Fashion,60.0,21,3,0.143,2,4,4.5,5,Credit Card,1028,342.69,0
2460.83,Beauty,0.9,24,2,0.083,2,3,3.9,4,Credit Card,1148,339.97,0
891.51,Home,65.8,8,3,0.375,2,1,2.0,2,Net Banking,1330,261.05,1
2044.65,Beauty,60.4,33,4,0.121,3,8,4.2,3,UPI,1955,227.92,0
1894.23,Fashion,52.7,5,5,1.0,2,9,3.6,1,Debit Card,1516,241.0,1
724.6,Fashion,68.8,25,2,0.08,2,10,4.4,1,Credit Card,1718,206.42,1
2407.22,Electronics,3.8,43,5,0.116,2,7,2.5,4,Net Banking,1259,219.69,1
2831.69,Electronics,44.9,40,6,0.15,0,3,5.0,2,UPI,120,444.57,0
4300.3,Fashion,59.5,17,1,0.059,1,1,2.7,5,UPI,1076,440.48,0
4200.85,Electronics,8.9,25,1,0.04,1,6,3.3,5,Net Banking,1077,299.51,1
600.56,Home,40.9,42,2,0.048,0,10,4.8,3,COD,1015,237.71,1
853.84,Books,27.6,46,4,0.087,1,7,2.3,1,Credit Card,883,312.66,0
2729.92,Electronics,30.5,33,1,0.03,1,8,4.5,3,COD,262,426.64,0
2727.19,Sports,63.9,5,5,1.0,2,3,2.9,3,COD,753,352.07,1
2729.95,Electronics,37.7,15,2,0.133,0,6,4.9,4,UPI,726,274.6,1
39426.17,Beauty,6.5,42,6,0.143,0,6,4.6,1,UPI,1550,3074.65,1
2854.67,Beauty,65.6,15,4,0.267,1,9,2.9,1,Net Banking,1488,269.98,1
4484.81,Books,13.0,1,1,1.0,0,8,2.2,3,COD,1615,334.69,1
3878.49,Electronics,62.5,43,3,0.07,3,4,4.3,5,UPI,1719,283.87,1
3044.56,Fashion,68.0,18,0,0.0,0,1,4.8,5,COD,1199,399.95,1
1404.99,Electronics,61.4,6,2,0.333,1,10,4.0,5,Net Banking,1070,307.15,1
3318.19,Fashion,47.4,34,6,0.176,0,6,4.4,2,Credit Card,1052,486.58,1
974.32,Books,52.0,2,2,1.0,1,7,2.5,3,Net Banking,718,325.88,1
1495.99,Sports,49.0,17,3,0.176,1,1,2.3,5,Credit Card,1428,321.2,1
1226.24,Beauty,32.2,5,3,0.6,0,6,4.8,5,UPI,1340,323.21,0
1930.43,Home,19.2,20,0,0.0,0,7,2.9,4,Credit Card,1420,223.32,0
11518.7,Books,20.0,14,3,0.214,0,2,3.1,1,UPI,1135,1025.97,1
405.93,Fashion,51.2,12,5,0.417,3,5,3.5,2,UPI,896,333.1,1
3130.69,Electronics,43.8,4,1,0.25,1,8,3.4,2,Credit Card,1139,247.33,1
497.62,Sports,40.9,41,3,0.073,3,6,3.4,1,COD,167,273.68,1
1239.49,Fashion,45.7,50,2,0.04,2,3,3.4,1,Debit Card,1122,297.31,1
4320.65,Electronics,54.2,10,3,0.3,2,8,3.0,1,UPI,1932,423.48,1
1903.45,Electronics,52.4,39,2,0.051,2,4,4.3,4,COD,1856,210.17,0
763.42,Home,7.4,30,4,0.133,1,1,4.8,4,Credit Card,890,322.09,0
1020.2,Home,25.4,37,0,0.0,0,6,3.5,5,Net Banking,1539,265.12,1
3114.05,Fashion,18.5,47,1,0.021,1,6,3.2,4,Credit Card,1381,305.13,0
1007.98,Beauty,37.7,26,4,0.154,2,1,4.6,5,COD,585,172.59,1
2149.88,Sports,4.3,45,1,0.022,1,6,2.4,5,Credit Card,862,293.07,1
1875.18,Books,53.4,46,8,0.174,1,4,2.1,4,Credit Card,855,291.71,1
1073.54,Home,7.5,4,0,0.0,0,1,3.3,3,COD,1054,191.44,0
10048.27,Sports,19.0,6,3,0.5,0,10,3.6,1,UPI,1793,759.49,1
3002.3,Sports,54.8,15,2,0.133,1,2,3.4,5,UPI,1644,366.48,1
357.77,Fashion,3.6,45,4,0.089,1,3,2.5,3,UPI,55,147.57,1
2098.89,Fashion,46.2,45,5,0.111,1,10,4.8,3,Debit Card,183,252.94,0
1064.83,Home,64.7,18,3,0.167,1,4,4.7,2,UPI,1955,260.45,1
3575.81,Electronics,43.2,17,6,0.353,1,9,3.5,4,UPI,1746,391.77,1
959.09,Fashion,49.9,33,2,0.061,1,6,2.7,1,UPI,126,222.07,0
1649.47,Home,55.5,36,2,0.056,2,1,3.7,3,Credit Card,1482,343.16,0
2708.07,Electronics,15.6,43,5,0.116,0,1,4.5,3,UPI,829,351.62,0
3614.12,Electronics,40.7,25,1,0.04,1,5,2.2,1,UPI,1748,294.88,0
692.12,Home,21.6,28,2,0.071,2,7,4.8,5,Net Banking,341,167.85,0
1383.54,Beauty,17.5,13,6,0.462,2,9,4.8,1,Debit Card,98,352.81,1
1236.5,Sports,13.5,32,1,0.031,1,3,2.5,4,UPI,530,224.65,0
1072.06,Home,41.0,48,6,0.125,2,4,4.5,1,Debit Card,1402,275.05,1
7423.18,Home,55.6,19,3,0.158,1,3,2.8,1,UPI,333,530.47,1
2499.85,Fashion,61.3,31,3,0.097,1,3,4.8,4,UPI,1128,227.14,1
659.38,Electronics,30.0,15,0,0.0,0,8,4.4,1,UPI,1439,202.19,0
3767.96,Electronics,26.1,44,1,0.023,1,7,3.9,2,Credit Card,1251,561.41,0
9874.64,Sports,48.1,23,1,0.043,0,10,2.6,1,Credit Card,921,894.33,1
4129.75,Home,54.6,40,3,0.075,1,7,3.9,4,COD,474,488.63,1
536.2,Sports,17.7,27,1,0.037,1,8,2.5,3,UPI,1898,332.71,0
1227.35,Beauty,20.8,1,1,1.0,1,10,3.1,4,Debit Card,663,192.84,1
4981.71,Electronics,37.3,22,1,0.045,1,5,2.3,4,UPI,787,321.18,1
1026.45,Home,31.1,8,5,0.625,3,2,2.8,3,UPI,596,286.6,1
2578.74,Fashion,49.4,5,5,1.0,2,5,2.5,2,Credit Card,1781,314.68,1
3360.04,Fashion,35.3,24,9,0.375,1,8,3.6,2,Credit Card,1450,525.27,0
861.31,Home,7.8,33,1,0.03,1,3,4.0,2,Debit Card,420,178.5,1
1723.96,Books,11.6,12,1,0.083,0,9,2.5,5,Debit Card,1899,321.84,1
200.0,Sports,63.1,4,1,0.25,0,3,3.9,1,Credit Card,728,196.59,1
796.71,Books,15.9,15,0,0.0,0,2,3.9,3,UPI,1591,325.93,1
1477.26,Electronics,3.5,9,3,0.333,2,9,2.1,3,COD,1172,318.07,0
666.32,Electronics,51.2,42,1,0.024,1,10,4.0,1,UPI,1864,350.44,1
6673.7,Electronics,47.9,13,0,0.0,0,10,2.9,4,UPI,233,543.41,1
575.87,Fashion,42.0,10,3,0.3,2,10,2.0,2,Net Banking,114,287.93,1
1271.52,Fashion,35.2,42,2,0.048,1,7,3.4,1,UPI,1145,197.56,0
2007.39,Beauty,67.9,14,3,0.214,3,3,3.1,4,UPI,499,249.7,1
5727.41,Home,8.4,1,1,1.0,0,5,4.4,5,UPI,488,676.23,1
573.24,Books,35.7,27,5,0.185,3,9,3.7,3,UPI,160,261.84,1
4584.93,Books,39.5,22,3,0.136,1,2,2.6,1,COD,1816,353.71,1
1822.9,Electronics,1.6,22,4,0.182,1,9,4.0,3,Net Banking,816,322.53,1
824.51,Sports,28.8,26,1,0.038,1,2,4.3,3,Debit Card,951,281.04,1
2616.74,Home,54.8,24,3,0.125,1,5,4.0,1,UPI,1024,397.71,1
2120.16,Home,33.0,30,4,0.133,3,4,2.9,2,COD,568,409.58,1
1118.59,Sports,61.3,40,2,0.05,2,3,2.6,4,Credit Card,1512,344.51,1
1911.88,Electronics,45.1,17,3,0.176,0,4,3.9,2,Credit Card,1987,323.58,1
1328.42,Books,53.6,23,3,0.13,3,3,4.0,4,Credit Card,628,205.42,1
1979.92,Beauty,56.3,10,2,0.2,1,9,2.6,2,Debit Card,363,326.11,1
3070.83,Books,48.3,33,4,0.121,3,9,4.1,4,Credit Card,806,336.69,1
6430.54,Books,52.5,8,6,0.75,6,3,4.5,5,COD,810,508.99,1
671.66,Home,48.7,5,2,0.4,2,7,2.9,4,Credit Card,1739,262.2,1
9960.94,Electronics,38.5,34,2,0.059,2,5,4.8,4,Net Banking,172,621.11,1
379.3,Electronics,39.7,27,3,0.111,2,1,4.8,4,UPI,128,198.75,0
1601.3,Fashion,13.3,31,2,0.065,2,8,4.3,1,UPI,1777,247.45,0
2894.75,Electronics,57.9,25,5,0.2,3,9,3.3,3,COD,1184,280.24,1
2263.79,Sports,21.8,2,2,1.0,2,3,3.9,1,COD,591,431.17,1
1098.65,Fashion,37.5,20,3,0.15,3,1,4.0,1,Net Banking,1018,186.5,1
1530.73,Books,17.5,43,4,0.093,2,9,2.2,2,UPI,398,333.95,0
1218.77,Beauty,48.7,3,3,1.0,2,6,3.1,5,Credit Card,338,267.62,1
1128.35,Electronics,68.3,41,2,0.049,2,1,2.6,5,UPI,1372,342.36,0
3567.72,Home,56.1,40,4,0.1,2,9,3.4,5,Credit Card,851,469.6,1
2405.74,Home,43.3,38,3,0.079,3,7,4.4,2,UPI,1054,260.07,0
1038.65,Home,39.7,46,5,0.109,1,4,2.5,4,Credit Card,1797,326.6,1
3713.31,Home,34.3,40,2,0.05,2,3,2.2,3,Credit Card,1038,404.91,1
2311.93,Electronics,14.3,15,1,0.067,1,3,5.0,5,Credit Card,1163,263.44,0
3464.38,Beauty,24.4,27,4,0.148,1,1,4.6,1,Debit Card,1805,296.91,1
2992.02,Home,28.4,24,6,0.25,2,7,3.6,5,Credit Card,1237,397.03,1
931.51,Sports,66.1,35,1,0.029,1,10,3.7,5,Credit Card,1486,289.48,1
1155.0,Sports,29.8,23,2,0.087,2,9,4.1,3,COD,1975,308.79,0
3287.34,Fashion,41.0,8,3,0.375,3,10,2.9,5,UPI,1576,225.4,1
2946.27,Electronics,64.6,22,1,0.045,1,3,3.9,2,UPI,1641,322.95,0
1778.06,Beauty,36.3,16,0,0.0,0,2,4.4,3,Net Banking,1600,420.6,1
1985.97,Books,17.6,6,1,0.167,1,3,3.5,2,UPI,196,348.39,1
5024.75,Fashion,26.7,39,3,0.077,3,3,3.7,2,Debit Card,365,683.52,1
1126.36,Fashion,26.3,45,3,0.067,2,1,3.0,3,Credit Card,1828,373.62,1
2800.85,Electronics,50.0,29,2,0.069,2,1,4.8,2,COD,210,508.03,1
1538.01,Fashion,20.7,26,2,0.077,1,4,3.1,5,Credit Card,1426,389.32,0
